,Auburn(Maine),Warwick(Rhode Island),Utica(New York),Troy(New York),Baltimore(Maryland),Cumberland(Maryland),Paterson(New Jersey),Biddeford(Maine),Cambridge(Massachusetts),Washington(DC),York(Pennsylvania),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Middletown(New Jersey),Hagerstown(Maryland),New Haven(Connecticut),Johnstown(Pennsylvania),New Rochelle(New York),Rockville(Maryland),Fall River(Massachusetts),New Bedford(Massachusetts),Reading(Pennsylvania),Annapolis(Maryland),Stamford(Connecticut),Virginia Beach(Virginia),Westbrook(Maine),Worcester(Massachusetts),Laconia(New Hampshire),Syracuse(New York),Silver Spring(Maryland),Burlington(Vermont),Buffalo(New York),Gaithersburg(Maryland),Lebanon(New Hampshire),Bangor(Maine),Portland(Maine),Boston(Massachusetts),Salisbury(Maryland),Winooski(Vermont),Hartford(Connecticut),Allentown(Pennsylvania),Brockton(Massachusetts),Montpelier(Vermont),Concord(New Hampshire),New York City(New York),Pittsfield(Massachusetts),Wilmington-D(Delaware),Portsmouth(New Hampshire),Chelsea(Massachusetts),Binghamton(New York),Yonkers(New York),Scranton(Pennsylvania),Woodbridge(New Jersey),Providence(Rhode Island),Augusta(Maine),Dover(Delaware),Manchester(New Hampshire),Rochester(New Hampshire),Columbia(Maryland),Keene(New Hampshire),Atlantic City(New Jersey),Seaford(Delaware),Rutland(Vermont),Lewiston(Maine),Newark(New Jersey),Philadelphia(Pennsylvania),Mount Vernon(New York),Harrisburg(Pennsylvania),Nashua(New Hampshire),Tonawanda(New York),Newport(Rhode Island),Jersey City(New Jersey),Springfield(Massachusetts),Erie(Pennsylvania),Bridgeport(Connecticut),Sanford(Maine),Trenton(New Jersey),Lancaster(Pennsylvania),Albany(New York),Hamilton(New Jersey)
Harrisburg(Pennsylvania),891.0,592.8,451.0,523.0,125.2,231.0,279.0,811.0,662.8,190.6,40.2,327.0,673.8,319.0,122.0,432.8,221.0,329.1,188.2,628.5,653.9000000000001,102.0,177.2,363.8,1000000000.0,847.2,590.8,774.8,410.0,178.2,771.0,611.0,196.2,739.0,1051.0,849.1,657.8,304.2,771.0,485.8,133.0,674.8,767.0,732.8,294.0,582.0,221.0,752.0,666.0,291.0,318.4,196.0,285.0,605.8,938.1,303.0,706.6,771.8,159.10000000000002,661.5,270.0,292.2,658.0,893.0,265.0,170.0,326.09999999999997,0.0,673.8,629.0,593.8,281.5,532.5,478.0,403.3,799.8,225.0,62.0,517.0,239.3
Nashua(New Hampshire),242.0,165.6,463.0,322.8,711.1,904.8,396.79999999999995,162.0,67.0,776.5,685.8,995.8,95.4,461.3,795.8,251.0,887.8,344.7,774.1,159.8,166.0,596.8,763.1,310.0,1000000000.0,198.2,83.0,101.0,544.0,764.1,311.0,776.0,782.1,146.0,402.0,200.0,77.8,769.6,306.0,188.0,540.8,117.0,242.0,59.0,379.8,243.0,592.1,103.0,73.0,534.0,357.4,573.8,426.1,148.0,287.0,674.1,32.8,98.0,745.0,82.0,589.3,733.1,227.0,244.0,408.8,541.1,349.8,673.8,0.0,774.0,194.5,392.3,166.0,928.0,277.0,144.0,486.1,648.8,308.0,482.3
Tonawanda(New York),965.5,773.6,319.0,472.0,754.2,548.7,610.0,891.2,747.0,767.0999999999999,669.2,377.7,766.0,693.0,657.7,732.7,454.7,629.0,735.7,771.0,792.0,592.0,803.7,663.7,1000000000.0,916.0,691.0,778.0,242.0,754.7,720.0,19.7,727.7,688.0,1124.0,917.0,746.0,861.5,720.0,669.7,555.0,773.0,716.0,785.0,644.0,531.0,684.0,840.2,754.2,338.0,621.0,433.0,660.0,756.0,1004.0,766.0,803.0,837.0,758.7,752.0,733.0,825.0,607.0,962.0,635.3,633.0,626.0,629.0,774.0,0.0,805.7,651.8,623.0,171.7,703.2,861.0,649.0,646.0,466.0,663.3
Newport(Rhode Island),349.9,50.0,494.7,354.5,631.1,824.8,316.79999999999995,269.9,127.5,696.5,605.8,915.8,104.7,381.3,715.8,161.0,807.8,264.7,694.1,34.7,60.1,516.8,683.1,230.0,1000000000.0,306.1,125.7,295.5,575.7,684.1,505.5,807.7,702.1,340.5,509.9,308.0,116.7,689.6,500.5,181.0,460.8,85.7,436.5,253.5,299.8,274.7,512.1,210.9,124.9,555.7,277.4,493.79999999999995,346.1,61.0,397.0,594.1,227.3,246.0,665.0,276.5,509.3,653.1,410.7,351.9,328.8,461.1,269.8,593.8,194.5,805.7,0.0,312.3,194.7,959.7,196.2,258.70000000000005,406.1,568.8,339.7,402.3
Jersey City(New Jersey),609.5,311.3,398.7,287.5,318.8,512.5,41.8,529.5,381.3,384.2,293.5,603.5,392.3,69.0,403.5,151.3,495.5,47.6,381.8,347.0,372.40000000000003,204.5,370.8,82.30000000000001,1000000000.0,565.7,309.3,493.3,432.8,371.8,535.5,633.8,389.8,479.0,769.5,567.6,376.3,377.3,535.5,204.3,148.5,393.3,531.5,451.3,12.5,341.7,199.8,470.5,384.5,313.8,46.7,218.8,33.8,324.3,656.6,281.8,425.1,490.3,352.7,380.0,197.0,340.8,422.5,611.5,16.5,148.8,48.4,281.5,392.3,651.8,312.3,0.0,251.0,736.8,121.80000000000001,518.3,93.8,256.5,276.7,90.0
Springfield(Massachusetts),372.5,165.6,312.0,171.8,569.8,763.5,255.50000000000003,292.5,139.0,635.2,544.5,854.5,158.0,320.0,654.5,109.7,746.5,203.39999999999998,632.8,160.0,182.0,455.5,621.8,168.7,1000000000.0,328.7,83.0,258.0,393.0,622.8,329.0,625.0,640.8,228.0,532.5,330.6,142.0,628.3,329.0,46.7,399.5,166.0,324.0,216.0,238.5,92.0,450.8,233.5,147.5,383.0,216.10000000000002,432.5,284.8,148.0,419.6,532.8,198.8,264.0,603.7,129.0,448.0,591.8,216.0,374.5,267.5,399.8,208.5,532.5,166.0,623.0,194.7,251.0,0.0,777.0,135.7,281.3,344.8,507.5,157.0,341.0
Erie(Pennsylvania),1121.5,927.6,475.0,628.0,603.2,377.0,695.0,1047.2,901.0,595.4,518.2,206.0,920.0,778.0,486.0,820.7,283.0,717.0,564.0,925.0,946.0,575.0,632.0,751.7,1000000000.0,1072.0,845.0,934.0,398.0,583.0,876.0,152.0,556.0,844.0,1280.0,1073.0,900.0,760.0,876.0,823.7,598.0,927.0,872.0,941.0,731.3,685.0,696.0,994.2,908.2,426.0,709.0,518.0,745.0,910.0,1160.0,778.0,959.0,993.0,587.0,906.0,745.0,747.0,763.0,1118.0,720.3,645.0,714.0,478.0,928.0,171.7,959.7,736.8,777.0,0.0,791.2,1017.0,692.0,539.0,620.0,706.3
Bridgeport(Connecticut),494.2,195.2,438.9,307.5,440.6,634.3,126.30000000000001,414.2,266.0,506.0,415.3,725.3,277.0,190.8,525.3,35.2,617.3,74.2,503.6,230.89999999999998,256.3,326.3,492.6,39.5,1000000000.0,450.4,194.0,378.0,484.2,493.6,464.7,685.2,511.6,363.7,654.2,452.29999999999995,261.0,499.1,464.7,89.0,270.3,278.0,459.7,336.0,109.30000000000001,227.7,321.6,355.2,269.2,365.2,86.9,303.3,155.60000000000002,209.0,541.3,403.6,309.8,375.0,474.5,264.7,318.8,462.6,351.7,496.2,138.3,270.6,79.30000000000001,403.3,277.0,703.2,196.2,121.80000000000001,135.7,791.2,0.0,403.0,215.60000000000002,378.3,292.7,211.8
Sanford(Maine),104.5,242.9,550.0,389.0,837.0999999999999,1030.8,522.8000000000001,30.2,142.3,902.4999999999999,811.8,1121.8,157.3,587.3,921.8,377.0,1013.8,470.7,900.0999999999999,224.0,233.8,722.8,889.0999999999999,436.0,1000000000.0,55.0,209.0,83.0,631.0,890.0999999999999,338.0,865.0,908.0999999999999,173.0,263.0,56.0,142.0,895.5999999999999,333.0,314.0,666.8,178.70000000000002,269.0,85.0,505.8,357.0,718.0999999999999,47.8,133.8,621.0,483.40000000000003,699.8000000000001,552.0999999999999,225.3,143.0,800.0999999999999,112.5,82.9,870.9999999999999,172.0,715.3,859.0999999999999,254.0,101.0,534.8,667.0999999999999,475.8,799.8,144.0,861.0,258.70000000000005,518.3,281.3,1017.0,403.0,0.0,612.0999999999999,774.8,403.8,608.3
Trenton(New Jersey),703.3,405.1,471.0,380.4,225.0,453.0,100.0,623.3,475.1,290.4,219.0,546.0,486.1,94.0,344.0,245.10000000000002,439.0,141.4,288.0,440.8,466.20000000000005,150.0,277.0,176.10000000000002,1000000000.0,659.5,403.1,587.1,430.0,278.0,628.4,631.0,296.0,572.8,863.3,661.4,470.1,283.5,628.4,298.1,94.0,487.1,624.4,545.1,106.3,434.4,106.0,564.3,478.3,311.0,139.4,216.0,60.0,418.1,750.4,188.0,518.9,584.1,258.9,473.8,125.0,247.0,515.4,705.3,87.0,55.0,142.2,225.0,486.1,649.0,406.1,93.8,344.8,692.0,215.60000000000002,612.0999999999999,0.0,183.0,369.4,14.3
Lancaster(Pennsylvania),866.0,567.8,468.0,534.4,127.1,293.0,254.0,786.0,637.8,192.5,42.1,383.0,648.8,277.0,184.0,407.8,277.0,304.1,190.1,603.5,628.9000000000001,55.0,179.1,338.8,1000000000.0,822.2,565.8,749.8,427.0,180.1,782.4,628.0,198.1,735.5,1026.0,824.1,632.8,306.1,782.4,460.8,108.0,649.8,778.4,707.8,269.0,588.4,179.0,727.0,641.0,308.0,293.4,213.0,243.0,580.8,913.1,261.0,681.6,746.8,161.0,636.5,228.0,294.1,669.4,868.0,240.0,128.0,301.09999999999997,62.0,648.8,646.0,568.8,256.5,507.5,539.0,378.3,774.8,183.0,0.0,523.4,197.3
Albany(New York),508.3,307.6,155.0,14.8,594.4,748.0,269.4,433.2,281.0,659.8,557.2,798.0,300.0,345.7,639.0,266.7,696.0,242.7,657.4,305.0,326.0,471.4,646.4,277.4,1000000000.0,458.8,225.0,320.8,236.0,647.4,262.8,468.0,665.4,230.8,666.8,459.8,280.0,652.9,262.8,203.7,415.4,307.0,258.8,327.8,264.2,65.0,475.4,374.2,288.2,226.0,230.0,321.0,310.5,290.0,546.8,557.4,340.8,379.8,628.3,286.0,473.7,616.4,149.8,504.8,293.2,424.4,237.7,517.0,308.0,466.0,339.7,276.7,157.0,620.0,292.7,403.8,369.4,523.4,0.0,366.7
Hamilton(New Jersey),699.5,401.3,485.3,377.5,239.3,467.3,106.0,619.5,471.3,304.7,233.3,560.3,482.3,84.0,358.3,241.3,453.3,137.6,302.3,437.0,462.40000000000003,164.3,291.3,172.3,1000000000.0,655.7,399.3,583.3,444.3,292.3,625.5,645.3,310.3,569.0,859.5,657.6,466.3,297.8,625.5,294.3,108.3,483.3,621.5,541.3,102.5,431.7,120.3,560.5,474.5,325.3,136.7,230.3,60.0,414.3,746.6,202.3,515.1,580.3,273.2,470.0,139.3,261.3,512.5,701.5,82.0,69.3,138.4,239.3,482.3,663.3,402.3,90.0,341.0,706.3,211.8,608.3,14.3,197.3,366.7,0.0
