,Auburn(Maine),Warwick(Rhode Island),Utica(New York),Troy(New York),Baltimore(Maryland),Cumberland(Maryland),Paterson(New Jersey),Biddeford(Maine),Cambridge(Massachusetts),Washington(DC),York(Pennsylvania),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Middletown(New Jersey),Hagerstown(Maryland),New Haven(Connecticut),Johnstown(Pennsylvania),New Rochelle(New York),Rockville(Maryland),Fall River(Massachusetts),New Bedford(Massachusetts),Reading(Pennsylvania),Annapolis(Maryland),Stamford(Connecticut),Virginia Beach(Virginia),Westbrook(Maine),Worcester(Massachusetts),Laconia(New Hampshire),Syracuse(New York),Silver Spring(Maryland),Burlington(Vermont),Buffalo(New York),Gaithersburg(Maryland),Lebanon(New Hampshire),Bangor(Maine),Portland(Maine),Boston(Massachusetts),Salisbury(Maryland),Winooski(Vermont),Hartford(Connecticut),Allentown(Pennsylvania),Brockton(Massachusetts),Montpelier(Vermont),Concord(New Hampshire),New York City(New York),Pittsfield(Massachusetts),Wilmington-D(Delaware),Portsmouth(New Hampshire),Chelsea(Massachusetts),Binghamton(New York),Yonkers(New York),Scranton(Pennsylvania),Woodbridge(New Jersey),Providence(Rhode Island),Augusta(Maine),Dover(Delaware),Manchester(New Hampshire),Rochester(New Hampshire),Columbia(Maryland),Keene(New Hampshire),Atlantic City(New Jersey),Seaford(Delaware),Rutland(Vermont),Lewiston(Maine),Newark(New Jersey),Philadelphia(Pennsylvania),Mount Vernon(New York),Harrisburg(Pennsylvania),Nashua(New Hampshire),Tonawanda(New York),Newport(Rhode Island),Jersey City(New Jersey),Springfield(Massachusetts),Erie(Pennsylvania),Bridgeport(Connecticut),Sanford(Maine),Trenton(New Jersey),Lancaster(Pennsylvania),Albany(New York),Hamilton(New Jersey)
New Bedford(Massachusetts),325.0,72.80000000000001,481.0,340.8,691.2,884.9000000000001,376.9,245.0,99.0,756.6,665.9000000000001,975.9000000000001,80.0,441.40000000000003,775.9000000000001,221.1,867.9000000000001,324.8,754.2,25.4,0.0,576.9000000000001,743.2,290.1,1000000000.0,281.2,114.0,267.0,562.0,744.2,477.0,794.0,762.2,312.0,485.0,283.1,93.0,749.7,472.0,175.2,520.9000000000001,60.0,408.0,225.0,359.90000000000003,261.0,572.2,186.0,100.0,552.0,337.5,553.9,406.20000000000005,55.2,372.1,654.2,198.8,221.1,725.1,248.0,569.4000000000001,713.2,393.0,327.0,388.90000000000003,521.2,329.90000000000003,653.9000000000001,166.0,792.0,60.1,372.40000000000003,182.0,946.0,256.3,233.8,466.20000000000005,628.9000000000001,326.0,462.40000000000003
Reading(Pennsylvania),814.0,515.8,414.0,482.4,177.0,333.0,202.0,734.0,585.8,242.4,92.0,418.0,596.8,244.0,224.0,355.8,316.0,252.1,240.0,551.5,576.9000000000001,0.0,229.0,286.8,1000000000.0,770.2,513.8,697.8,373.0,230.0,730.4,574.0,248.0,683.5,974.0,772.1,580.8,330.5,730.4,408.8,56.0,597.8,726.4,655.8,217.0,536.4,153.0,675.0,589.0,254.0,241.4,159.0,210.0,528.8,861.1,235.0,629.6,694.8,210.9,584.5,202.0,294.0,617.4,816.0,188.0,102.0,249.1,102.0,596.8,592.0,516.8,204.5,455.5,575.0,326.3,722.8,150.0,55.0,471.4,164.3
Annapolis(Maryland),980.3,682.1,628.2,657.4,52.0,255.0,377.0,900.3,752.1,67.4,137.0,426.0,763.1,371.0,152.0,522.1,362.0,418.4,72.0,717.8,743.2,229.0,0.0,453.1,1000000000.0,936.5,680.1,864.1,587.2,55.0,905.4,784.0,81.0,849.8,1140.3,938.4,747.1,143.0,905.4,575.1,282.0,764.1,901.4,822.1,383.3,711.4,171.0,841.3,755.3,468.2,416.4,373.2,337.0,695.1,1027.4,175.0,795.9,861.1,52.0,750.8,300.0,115.0,792.4,982.3,364.0,222.0,419.2,177.2,763.1,803.7,683.1,370.8,621.8,632.0,492.6,889.0999999999999,277.0,179.1,646.4,291.3
Stamford(Connecticut),527.2,229.0,399.4,276.7,401.1,594.8,86.80000000000001,447.2,299.0,466.5,375.8,685.8,310.0,151.3,485.8,69.0,577.8,34.7,464.1,264.7,290.1,286.8,453.1,0.0,1000000000.0,483.4,227.0,411.0,444.7,454.1,497.7,645.7,472.1,396.7,687.2,485.29999999999995,294.0,459.6,497.7,122.0,230.8,311.0,492.7,369.0,69.80000000000001,260.7,282.1,388.2,302.2,325.7,47.400000000000006,263.8,116.10000000000001,242.0,574.3,364.1,342.8,408.0,435.0,297.7,279.3,423.1,384.7,529.2,98.80000000000001,231.10000000000002,39.800000000000004,363.8,310.0,663.7,230.0,82.30000000000001,168.7,751.7,39.5,436.0,176.10000000000002,338.8,277.4,172.3
Virginia Beach(Virginia),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Westbrook(Maine),54.0,290.3,605.0,444.0,884.5,1078.2,570.1999999999999,36.2,189.7,949.9,859.2,1169.2,204.7,634.7,969.2,424.4,1061.2,518.0999999999999,947.5,271.4,281.2,770.2,936.5,483.4,1000000000.0,0.0,256.4,138.0,686.0,937.5,393.0,920.0,955.5,228.0,214.0,12.1,189.39999999999998,943.0,388.0,361.4,714.2,226.1,324.0,140.0,553.2,404.4,765.5,95.2,181.2,676.0,530.8,747.1999999999999,599.5,272.7,98.0,847.5,167.5,130.3,918.4,227.0,762.7,906.5,309.0,55.0,582.2,714.5,523.2,847.2,198.2,916.0,306.1,565.7,328.7,1072.0,450.4,55.0,659.5,822.2,458.8,655.7
Worcester(Massachusetts),300.2,82.6,380.0,239.8,628.1,821.8,313.79999999999995,220.2,72.0,693.5,602.8,912.8,88.0,378.3,712.8,168.0,804.8,261.7,691.1,91.0,114.0,513.8,680.1,227.0,1000000000.0,256.4,0.0,184.0,461.0,681.1,394.0,693.0,699.1,229.0,460.2,258.3,67.0,686.6,389.0,105.0,457.8,99.0,325.0,142.0,296.8,160.0,509.1,161.2,75.2,451.0,274.4,490.79999999999995,343.1,65.0,347.3,591.1,115.8,181.0,662.0,165.0,506.3,650.1,299.0,302.2,325.8,458.1,266.8,590.8,83.0,691.0,125.7,309.3,83.0,845.0,194.0,209.0,403.1,565.8,225.0,399.3
Laconia(New Hampshire),187.5,266.6,467.0,306.0,812.1,1005.8,497.79999999999995,113.2,168.0,877.5,786.8,1096.8,196.4,562.3,896.8,352.0,988.8,445.7,875.1,260.8,267.0,697.8,864.1,411.0,1000000000.0,138.0,184.0,0.0,548.0,865.1,255.0,782.0,883.1,90.0,346.0,139.0,178.8,870.6,250.0,289.0,641.8,218.0,186.0,43.7,480.8,314.0,693.1,92.0,174.0,538.0,458.4,633.0,527.1,249.0,226.0,775.1,71.0,59.0,846.0,129.0,690.3,834.1,171.0,184.0,509.8,642.1,450.8,774.8,101.0,778.0,295.5,493.3,258.0,934.0,378.0,83.0,587.1,749.8,320.8,583.3
Syracuse(New York),735.5,543.6,89.0,242.0,535.2,641.0,391.0,661.2,517.0,600.6,450.2,604.0,536.0,474.0,532.0,502.7,589.0,410.0,598.2,541.0,562.0,373.0,587.2,444.7,1000000000.0,686.0,461.0,548.0,0.0,588.2,490.0,246.0,606.2,458.0,894.0,687.0,516.0,642.5,490.0,439.7,336.0,543.0,486.0,555.0,421.0,301.0,465.0,610.2,524.2,119.0,398.0,214.0,441.0,526.0,774.0,547.0,573.0,607.0,569.1,522.0,514.0,606.0,377.0,732.0,416.3,414.0,405.7,410.0,544.0,242.0,575.7,432.8,393.0,398.0,484.2,631.0,430.0,427.0,236.0,444.3
Silver Spring(Maryland),981.3,683.1,629.2,658.4,53.0,206.0,378.0,901.3,753.1,12.4,138.0,377.0,764.1,372.0,102.0,523.1,313.0,419.4,21.9,718.8,744.2,230.0,55.0,454.1,1000000000.0,937.5,681.1,865.1,588.2,0.0,906.4,735.0,33.5,850.8,1141.3,939.4,748.1,192.0,906.4,576.1,283.0,765.1,902.4,823.1,384.3,712.4,172.0,842.3,756.3,469.2,417.4,374.2,338.0,696.1,1028.4,230.0,796.9,862.1,38.9,751.8,301.0,170.0,793.4,983.3,365.0,223.0,420.2,178.2,764.1,754.7,684.1,371.8,622.8,583.0,493.6,890.0999999999999,278.0,180.1,647.4,292.3
