,Lebanon(New Hampshire),Portsmouth(New Hampshire),Augusta(Maine),Bangor(Maine),Worcester(Massachusetts),Hartford(Connecticut),Biddeford(Maine),New Bedford(Massachusetts),New Haven(Connecticut),Cambridge(Massachusetts),New York City(New York),Providence(Rhode Island),Quincy(Massachusetts),Chelsea(Massachusetts),Auburn(Maine),Boston(Massachusetts),Albany(New York),Fall River(Massachusetts),Keene(New Hampshire),Nashua(New Hampshire),Buffalo(New York),Concord(New Hampshire),Montpelier(Vermont),Bridgeport(Connecticut),Burlington(Vermont),Portland(Maine),Winooski(Vermont),Rutland(Vermont),Springfield(Massachusetts),Manchester(New Hampshire),Westbrook(Maine),Sanford(Maine),Stamford(Connecticut),Newport(Rhode Island),Rochester(New Hampshire),Brockton(Massachusetts),Laconia(New Hampshire),Pittsfield(Massachusetts),Warwick(Rhode Island),Lewiston(Maine)
New York City(New York),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,271.0,1000000000.0,1000000000.0,1000000000.0,744.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Providence(Rhode Island),1000000000.0,1000000000.0,1000000000.0,1000000000.0,65.0,120.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,68.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,29.8,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,61.0,1000000000.0,69.0,1000000000.0,1000000000.0,17.6,1000000000.0
Quincy(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,92.0,1000000000.0,1000000000.0,80.0,1000000000.0,28.4,1000000000.0,68.0,0.0,23.5,1000000000.0,21.0,1000000000.0,70.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,158.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,25.6,1000000000.0,235.0,1000000000.0,1000000000.0
Chelsea(Massachusetts),1000000000.0,86.0,1000000000.0,1000000000.0,83.0,1000000000.0,1000000000.0,100.0,1000000000.0,8.5,1000000000.0,1000000000.0,23.5,0.0,1000000000.0,8.2,1000000000.0,94.0,1000000000.0,73.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,149.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,44.9,1000000000.0,226.0,1000000000.0,1000000000.0
Auburn(Maine),1000000000.0,1000000000.0,65.0,185.0,1000000000.0,1000000000.0,80.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,54.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,54.0,106.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,3.5
Boston(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,67.0,1000000000.0,1000000000.0,93.0,1000000000.0,10.8,1000000000.0,1000000000.0,21.0,8.2,1000000000.0,0.0,1000000000.0,82.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,142.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,39.2,1000000000.0,215.0,1000000000.0,1000000000.0
Albany(New York),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,271.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,468.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,65.0,1000000000.0,1000000000.0
Fall River(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,91.0,1000000000.0,1000000000.0,25.4,1000000000.0,103.0,1000000000.0,29.8,70.0,94.0,1000000000.0,82.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,160.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,34.7,1000000000.0,51.0,1000000000.0,240.0,1000000000.0,1000000000.0
Keene(New Hampshire),99.0,172.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,82.0,1000000000.0,87.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,129.0,90.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,144.0,1000000000.0,129.0,1000000000.0,1000000000.0,1000000000.0
Nashua(New Hampshire),146.0,103.0,1000000000.0,1000000000.0,83.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,67.0,1000000000.0,1000000000.0,1000000000.0,73.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,82.0,0.0,1000000000.0,59.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,32.8,1000000000.0,1000000000.0,1000000000.0,1000000000.0,98.0,1000000000.0,101.0,1000000000.0,1000000000.0,1000000000.0
Buffalo(New York),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,744.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,468.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Concord(New Hampshire),97.0,75.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,87.0,59.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,27.5,1000000000.0,85.0,1000000000.0,1000000000.0,57.0,1000000000.0,43.7,1000000000.0,1000000000.0,1000000000.0
Montpelier(Vermont),96.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,69.0,1000000000.0,64.0,109.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Bridgeport(Connecticut),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,89.0,1000000000.0,1000000000.0,35.2,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,39.5,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Burlington(Vermont),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,69.0,1000000000.0,0.0,1000000000.0,5.1,113.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Portland(Maine),1000000000.0,1000000000.0,89.0,208.0,1000000000.0,1000000000.0,38.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,54.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,12.1,56.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,58.0
Winooski(Vermont),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,64.0,1000000000.0,5.1,1000000000.0,0.0,113.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Rutland(Vermont),81.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,109.0,1000000000.0,113.0,1000000000.0,113.0,0.0,216.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,143.0,1000000000.0,1000000000.0
Springfield(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,83.0,46.7,1000000000.0,182.0,1000000000.0,139.0,1000000000.0,1000000000.0,158.0,149.0,1000000000.0,142.0,1000000000.0,160.0,129.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,216.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,166.0,1000000000.0,92.0,1000000000.0,1000000000.0
Manchester(New Hampshire),115.0,74.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,90.0,32.8,1000000000.0,27.5,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,69.0,1000000000.0,71.0,1000000000.0,1000000000.0,1000000000.0
Westbrook(Maine),1000000000.0,1000000000.0,98.0,214.0,1000000000.0,1000000000.0,36.2,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,54.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,12.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,55.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,55.0
Sanford(Maine),1000000000.0,47.8,143.0,263.0,1000000000.0,1000000000.0,30.2,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,106.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,85.0,1000000000.0,1000000000.0,1000000000.0,56.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,55.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,83.0,1000000000.0,1000000000.0,101.0
Stamford(Connecticut),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,122.0,1000000000.0,1000000000.0,69.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,39.5,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Newport(Rhode Island),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,161.0,1000000000.0,1000000000.0,61.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,34.7,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,50.0,1000000000.0
Rochester(New Hampshire),153.0,35.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,144.0,98.0,1000000000.0,57.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,69.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,59.0,1000000000.0,1000000000.0,1000000000.0
Brockton(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,99.0,1000000000.0,1000000000.0,60.0,1000000000.0,59.0,1000000000.0,69.0,25.6,44.9,1000000000.0,39.2,1000000000.0,51.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,166.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,1000000000.0,242.0,1000000000.0,1000000000.0
