,Bangor(Maine),Rutland(Vermont),Portland(Maine),Montpelier(Vermont),Bridgeport(Connecticut),Laconia(New Hampshire),Manchester(New Hampshire),Worcester(Massachusetts),Brockton(Massachusetts),Biddeford(Maine),Fall River(Massachusetts),New Haven(Connecticut),Winooski(Vermont),Portsmouth(New Hampshire),Warwick(Rhode Island),Providence(Rhode Island),New Bedford(Massachusetts),Concord(New Hampshire),Rochester(New Hampshire),Sanford(Maine),Chelsea(Massachusetts),Boston(Massachusetts),Pittsfield(Massachusetts),Auburn(Maine),Westbrook(Maine),Hartford(Connecticut),Nashua(New Hampshire),Buffalo(New York),Burlington(Vermont),Albany(New York),Cambridge(Massachusetts),Stamford(Connecticut),New York City(New York),Newport(Rhode Island),Lewiston(Maine),Augusta(Maine),Springfield(Massachusetts),Keene(New Hampshire),Quincy(Massachusetts),Lebanon(New Hampshire)
New Haven(Connecticut),inf,inf,inf,inf,35.2,inf,inf,inf,inf,inf,inf,0.0,inf,inf,160.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63.0,inf,inf,inf,inf,inf,69.0,inf,161.0,inf,inf,inf,inf,inf,inf
Winooski(Vermont),inf,113.0,inf,64.0,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Portsmouth(New Hampshire),inf,inf,inf,inf,inf,92.0,74.0,inf,inf,59.0,inf,inf,inf,0.0,inf,inf,inf,75.0,35.1,47.8,86.0,inf,inf,inf,inf,inf,103.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,172.0,inf,181.0
Warwick(Rhode Island),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,160.0,inf,inf,0.0,17.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,50.0,inf,inf,inf,inf,inf,inf
Providence(Rhode Island),inf,inf,inf,inf,inf,inf,inf,65.0,69.0,inf,29.8,inf,inf,inf,17.6,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,120.0,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,68.0,inf
New Bedford(Massachusetts),inf,inf,inf,inf,inf,inf,inf,114.0,60.0,inf,25.4,inf,inf,inf,inf,inf,0.0,inf,inf,inf,100.0,93.0,261.0,inf,inf,inf,inf,inf,inf,inf,99.0,inf,inf,inf,inf,inf,182.0,inf,80.0,inf
Concord(New Hampshire),inf,inf,inf,inf,inf,43.7,27.5,inf,inf,inf,inf,inf,inf,75.0,inf,inf,inf,0.0,57.0,85.0,inf,inf,inf,inf,inf,inf,59.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,87.0,inf,97.0
Rochester(New Hampshire),inf,inf,inf,inf,inf,59.0,69.0,inf,inf,inf,inf,inf,inf,35.1,inf,inf,inf,57.0,0.0,inf,inf,inf,inf,inf,inf,inf,98.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,144.0,inf,153.0
Sanford(Maine),263.0,inf,56.0,inf,inf,83.0,inf,inf,inf,30.2,inf,inf,inf,47.8,inf,inf,inf,85.0,inf,0.0,inf,inf,inf,106.0,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.0,143.0,inf,inf,inf,inf
Chelsea(Massachusetts),inf,inf,inf,inf,inf,inf,inf,83.0,44.9,inf,94.0,inf,inf,86.0,inf,inf,100.0,inf,inf,inf,0.0,8.2,226.0,inf,inf,inf,73.0,inf,inf,inf,8.5,inf,inf,inf,inf,inf,149.0,inf,23.5,inf
