,Boston(Massachusetts),Rockville(Maryland),Newport(Rhode Island),Chelsea(Massachusetts),Baltimore(Maryland),Erie(Pennsylvania),Worcester(Massachusetts),New Bedford(Massachusetts),Philadelphia(Pennsylvania),Albany(New York),Tonawanda(New York),Binghamton(New York),Dover(Delaware),Buffalo(New York),Keene(New Hampshire),Utica(New York),Atlantic City(New Jersey),Concord(New Hampshire),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Burlington(Vermont),Johnstown(Pennsylvania),Hagerstown(Maryland),Mount Vernon(New York),Winooski(Vermont),Bangor(Maine),Cambridge(Massachusetts),Providence(Rhode Island),Trenton(New Jersey),Annapolis(Maryland),Stamford(Connecticut),Paterson(New Jersey),Portland(Maine),Woodbridge(New Jersey),Brockton(Massachusetts),Salisbury(Maryland),Sanford(Maine),Westbrook(Maine),Pittsfield(Massachusetts),Montpelier(Vermont),Hamilton(New Jersey),Bridgeport(Connecticut),Virginia Beach(Virginia),New Rochelle(New York),Syracuse(New York),Lancaster(Pennsylvania),Cumberland(Maryland),Warwick(Rhode Island),Augusta(Maine),Troy(New York),York(Pennsylvania),Springfield(Massachusetts),New Haven(Connecticut),Biddeford(Maine),Auburn(Maine),Silver Spring(Maryland),Gaithersburg(Maryland),Allentown(Pennsylvania),Laconia(New Hampshire),Rutland(Vermont),New York City(New York),Wilmington-D(Delaware),Scranton(Pennsylvania),Washington(DC),Quincy(Massachusetts),Seaford(Delaware),Harrisburg(Pennsylvania),Reading(Pennsylvania),Fall River(Massachusetts),Newark(New Jersey),Nashua(New Hampshire),Hartford(Connecticut),Lewiston(Maine),Jersey City(New Jersey),Rochester(New Hampshire),Manchester(New Hampshire),Yonkers(New York),Middletown(New Jersey),Lebanon(New Hampshire),Columbia(Maryland)
Reading(Pennsylvania),580.8,240.0,516.8,589.0,177.0,575.0,513.8,576.9,102.0,471.4,592.0,254.0,235.0,574.0,584.5,414.0,202.0,655.8,675.0,418.0,730.4,316.0,224.0,249.09999,730.4,974.0,585.8,528.8,150.0,229.0,286.8,202.0,772.1,210.0,597.8,330.5,722.8,770.2,536.4,726.4,164.3,326.3,1000000000.0,252.1,373.0,55.0,333.0,515.8,861.1,482.4,92.0,455.5,355.8,734.0,814.0,230.0,248.0,56.0,697.8,617.4,217.0,153.0,159.0,242.4,596.8,294.0,102.0,0.0,551.5,188.0,596.8,408.8,816.0,204.5,694.8,629.6,241.4,244.0,683.5,210.9
Fall River(Massachusetts),82.0,728.8,34.7,90.2,665.8,925.0,91.0,25.4,495.8,305.0,771.0,531.0,628.8,773.0,241.8,460.0,544.0,218.8,176.2,950.5,470.8,842.5,750.5,304.5,465.8,475.2,92.8,29.8,440.8,717.8,264.7,351.49997,273.3,380.8,51.0,724.3,224.0,271.4,240.0,401.8,437.0,230.9,1000000000.0,299.4,541.0,603.5,859.5,47.4,362.3,319.8,640.5,160.0,195.7,235.2,315.2,718.8,736.8,495.5,260.8,376.0,334.5,546.8,528.5,731.2,70.0,687.8,628.5,551.5,0.0,363.5,159.8,149.8,317.2,347.0,211.29999,192.6,312.09998,416.0,305.8,699.7
Newark(New Jersey),392.8,375.0,328.8,401.0,312.0,720.3,325.8,388.9,142.0,293.2,635.3,297.3,275.0,617.3,396.5,415.2,190.0,467.8,487.0,587.0,552.0,479.0,387.0,64.9,552.0,786.0,397.8,340.8,87.0,364.0,98.8,25.3,584.1,27.0,409.8,370.5,534.8,582.2,358.2,548.0,82.0,138.29999,1000000000.0,64.1,416.3,240.0,496.0,327.8,673.1,304.0,277.0,267.5,167.79999,546.0,626.0,365.0,383.0,132.0,509.8,439.0,29.0,193.0,202.3,377.4,408.8,334.0,265.0,188.0,363.5,0.0,408.8,220.79999,628.0,16.5,506.8,441.59998,63.2,62.0,495.5,345.9
Nashua(New Hampshire),77.8,774.1,194.5,73.0,711.1,928.0,83.0,166.0,541.1,308.0,774.0,534.0,674.1,776.0,82.0,463.0,589.3,59.0,103.0,995.8,311.0,887.8,795.8,349.8,306.0,402.0,67.0,148.0,486.09998,763.1,310.0,396.8,200.0,426.09998,117.0,769.6,144.0,198.2,243.0,242.0,482.3,277.0,1000000000.0,344.7,544.0,648.8,904.8,165.6,287.0,322.8,685.8,166.0,251.0,162.0,242.0,764.1,782.1,540.8,101.0,227.0,379.8,592.1,573.8,776.5,95.4,733.1,673.8,596.8,159.8,408.8,0.0,188.0,244.0,392.3,98.0,32.8,357.4,461.3,146.0,745.0
Hartford(Connecticut),172.0,586.1,181.0,180.2,523.1,823.7,105.0,175.2,353.09998,203.7,669.7,429.7,486.09998,671.7,175.7,358.7,401.3,247.0,266.2,807.8,375.7,699.8,607.8,161.8,375.7,565.2,177.0,120.0,298.09998,575.1,122.0,208.79999,363.30002,238.09999,189.0,581.6,314.0,361.40002,138.7,370.7,294.3,89.0,1000000000.0,156.7,439.7,460.8,716.8,137.6,452.30002,218.5,497.8,46.7,63.0,325.2,405.2,576.1,594.1,352.8,289.0,262.7,191.79999,404.09998,385.8,588.5,188.0,545.1,485.8,408.8,149.8,220.79999,188.0,0.0,407.2,204.29999,286.0,220.8,169.4,273.3,274.7,557.0
Lewiston(Maine),235.2,993.3,351.90002,227.0,930.3,1118.0,302.2,327.0,760.3,504.8,962.0,722.0,893.3,966.0,273.0,651.0,808.5,186.0,141.0,1215.0,439.0,1107.0,1015.0,569.0,434.0,167.0,235.5,318.5,705.3,982.3,529.2,616.0,57.5,645.3,271.9,988.8,101.0,55.0,450.2,370.0,701.5,496.2,1000000000.0,563.9,732.0,868.0,1124.0,336.1,54.0,490.0,905.0,374.5,470.2,82.0,3.5,983.3,1001.3,760.0,184.0,355.0,599.0,811.3,793.0,995.7,250.5,952.3,893.0,816.0,317.2,628.0,244.0,407.2,0.0,611.5,176.1,213.5,576.6,680.5,274.0,964.2
Jersey City(New Jersey),376.3,381.8,312.3,384.5,318.8,736.8,309.3,372.4,148.8,276.7,651.8,313.8,281.8,633.8,380.0,398.7,197.0,451.3,470.5,603.5,535.5,495.5,403.5,48.4,535.5,769.5,381.3,324.3,93.8,370.8,82.3,41.8,567.6,33.8,393.3,377.3,518.3,565.7,341.7,531.5,90.0,121.799995,1000000000.0,47.6,432.8,256.5,512.5,311.3,656.6,287.5,293.5,250.99998,151.29999,529.5,609.5,371.8,389.8,148.5,493.3,422.5,12.5,199.8,218.8,384.2,392.3,340.8,281.5,204.5,347.0,16.5,392.3,204.29999,611.5,0.0,490.3,425.09998,46.7,69.0,479.0,352.7
Rochester(New Hampshire),129.29999,872.1,245.99998,121.1,809.1,993.0,181.0,221.1,639.1,379.8,837.0,597.0,772.1,841.0,144.0,526.0,687.3,57.0,35.1,1093.8,314.0,985.8,893.8,447.8,309.0,334.1,129.6,212.6,584.1,861.1,408.0,494.8,132.2,524.1,166.0,867.6,82.899994,130.3,341.0,245.0,580.3,375.0,1000000000.0,442.7,607.0,746.8,1002.8,230.20001,221.2,365.0,783.8,264.0,349.0,94.1,174.1,862.1,880.1,638.8,59.0,230.0,477.8,690.1,671.8,874.5,144.6,831.1,771.8,694.8,211.29999,506.8,98.0,286.0,176.1,490.3,0.0,69.0,455.4,559.3,149.0,843.0
Manchester(New Hampshire),110.600006,806.89996,227.3,105.8,743.89996,959.0,115.8,198.8,573.89996,340.8,803.0,563.0,706.89996,807.0,90.0,492.0,622.1,27.5,74.0,1028.6,280.0,920.6,828.6,382.6,275.0,373.0,99.8,180.8,518.89996,795.89996,342.8,429.6,168.5,458.89996,149.8,802.39996,112.5,167.5,275.8,211.0,515.1,309.8,1000000000.0,377.5,573.0,681.6,937.6,198.40001,255.5,331.0,718.6,198.8,283.8,133.0,213.0,796.89996,814.89996,573.6,71.0,196.0,412.59998,624.89996,606.6,809.3,128.2,765.89996,706.6,629.6,192.6,441.59998,32.8,220.8,213.5,425.09998,69.0,0.0,390.2,494.09998,115.0,777.8
Yonkers(New York),341.4,427.4,277.4,349.59998,364.4,709.0,274.4,337.49997,194.4,230.0,621.0,283.0,327.4,603.0,345.09998,352.0,243.7,416.4,435.6,640.4,489.0,532.4,440.4,7.7,489.0,734.6,346.4,289.4,139.4,416.4,47.4,39.4,532.7,80.5,358.4,422.9,483.4,530.80005,295.0,485.0,136.7,86.899994,1000000000.0,12.7,398.0,293.4,549.4,276.4,621.7,241.0,330.4,216.09999,116.399994,494.6,574.6,417.4,435.4,185.4,458.4,376.0,34.2,245.4,216.4,429.8,357.4,386.4,318.4,241.4,312.09998,63.2,357.4,169.4,576.6,46.7,455.4,390.2,0.0,115.7,444.1,398.3
Middletown(New Jersey),445.3,382.0,381.3,453.5,319.0,778.0,378.3,441.4,149.0,345.7,693.0,355.0,282.0,675.0,449.0,467.7,141.0,520.3,539.5,640.0,604.5,533.0,438.0,117.4,604.5,838.5,450.3,393.3,94.0,371.0,151.3,83.0,636.6,37.5,462.3,377.5,587.3,634.7,410.7,600.5,84.0,190.79999,1000000000.0,116.6,474.0,277.0,547.0,380.3,725.6,356.5,313.0,320.0,220.29999,598.5,678.5,372.0,390.0,188.0,562.3,491.5,81.5,200.0,260.0,384.4,461.3,341.0,319.0,244.0,416.0,62.0,461.3,273.3,680.5,69.0,559.3,494.09998,115.7,0.0,548.0,352.9
Lebanon(New Hampshire),223.8,860.8,340.5,219.0,797.8,844.0,229.0,312.0,627.8,230.8,688.0,448.0,760.8,692.0,99.0,377.0,676.0,97.0,172.0,1020.0,165.0,918.0,861.0,436.5,160.0,436.0,213.0,294.0,572.8,849.8,396.7,483.5,229.0,512.8,263.0,856.3,173.0,228.0,224.0,96.0,569.0,363.7,1000000000.0,431.40002,458.0,735.5,970.0,311.6,316.0,216.0,772.5,228.0,337.7,203.2,277.5,850.8,868.8,627.5,90.0,81.0,466.5,678.8,543.0,863.2,241.4,819.8,739.0,683.5,305.8,495.5,146.0,274.7,274.0,479.0,149.0,115.0,444.1,548.0,0.0,831.7
Columbia(Maryland),729.0,52.0,665.0,737.2,33.9,587.0,662.0,725.1,203.9,628.3,758.7,450.1,227.0,739.0,732.7,610.1,281.9,804.0,823.2,381.0,887.3,317.0,106.0,401.1,887.3,1122.2,734.0,677.0,258.9,52.0,435.0,358.9,920.3,318.9,746.0,189.0,871.0,918.4,693.3,883.3,273.2,474.5,1000000000.0,400.30002,569.1,161.0,210.0,664.0,1009.3,639.3,118.9,603.7,504.0,882.2,962.2,38.9,48.0,263.9,846.0,774.3,365.2,152.9,355.1,51.300003,745.0,167.0,159.1,210.9,699.7,345.9,745.0,557.0,964.2,352.7,843.0,777.8,398.3,352.9,831.7,0.0
