,Boston(Massachusetts),Rockville(Maryland),Newport(Rhode Island),Chelsea(Massachusetts),Baltimore(Maryland),Erie(Pennsylvania),Worcester(Massachusetts),New Bedford(Massachusetts),Philadelphia(Pennsylvania),Albany(New York),Tonawanda(New York),Binghamton(New York),Dover(Delaware),Buffalo(New York),Keene(New Hampshire),Utica(New York),Atlantic City(New Jersey),Concord(New Hampshire),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Burlington(Vermont),Johnstown(Pennsylvania),Hagerstown(Maryland),Mount Vernon(New York),Winooski(Vermont),Bangor(Maine),Cambridge(Massachusetts),Providence(Rhode Island),Trenton(New Jersey),Annapolis(Maryland),Stamford(Connecticut),Paterson(New Jersey),Portland(Maine),Woodbridge(New Jersey),Brockton(Massachusetts),Salisbury(Maryland),Sanford(Maine),Westbrook(Maine),Pittsfield(Massachusetts),Montpelier(Vermont),Hamilton(New Jersey),Bridgeport(Connecticut),Virginia Beach(Virginia),New Rochelle(New York),Syracuse(New York),Lancaster(Pennsylvania),Cumberland(Maryland),Warwick(Rhode Island),Augusta(Maine),Troy(New York),York(Pennsylvania),Springfield(Massachusetts),New Haven(Connecticut),Biddeford(Maine),Auburn(Maine),Silver Spring(Maryland),Gaithersburg(Maryland),Allentown(Pennsylvania),Laconia(New Hampshire),Rutland(Vermont),New York City(New York),Wilmington-D(Delaware),Scranton(Pennsylvania),Washington(DC),Quincy(Massachusetts),Seaford(Delaware),Harrisburg(Pennsylvania),Reading(Pennsylvania),Fall River(Massachusetts),Newark(New Jersey),Nashua(New Hampshire),Hartford(Connecticut),Lewiston(Maine),Jersey City(New Jersey),Rochester(New Hampshire),Manchester(New Hampshire),Yonkers(New York),Middletown(New Jersey),Lebanon(New Hampshire),Columbia(Maryland)
Burlington(Vermont),388.8,916.4,505.5,384.0,853.4,876.0,394.0,477.0,683.4,262.8,720.0,480.0,816.4,724.0,264.0,409.0,732.5,262.0,337.0,1052.0,0.0,950.0,893.0,493.0,5.1,601.0,378.0,459.0,628.4,905.4,497.7,528.4,394.0,569.3,428.0,911.9,338.0,393.0,256.0,69.0,625.5,464.7,1000000000.0,490.0,490.0,782.4,1002.0,476.6,481.0,248.0,811.2,329.0,438.7,368.2,442.5,906.4,924.4,674.4,255.0,113.0,523.0,734.4,575.0,918.8,406.4,875.4,771.0,730.4,470.8,552.0,311.0,375.7,439.0,535.5,314.0,280.0,489.0,604.5,165.0,887.3
Johnstown(Pennsylvania),871.8,294.0,807.8,880.0,335.0,283.0,804.8,867.9,384.0,696.0,454.7,470.0,517.0,435.0,875.5,630.0,484.0,946.8,966.0,108.0,950.0,0.0,216.0,540.10004,950.0,1265.0,876.8,819.8,439.0,362.0,577.8,493.0,1063.1,499.0,888.8,490.0,1013.8,1061.2,761.0,946.0,453.3,617.3,1000000000.0,543.1,589.0,277.0,107.0,806.8,1152.1,702.0,250.0,746.5,646.8,1025.0,1105.0,313.0,286.0,347.0,988.8,837.0,508.0,435.0,375.0,325.4,887.8,477.0,221.0,316.0,842.5,479.0,887.8,699.8,1107.0,495.5,985.8,920.6,532.4,533.0,918.0,317.0
Hagerstown(Maryland),779.8,84.0,715.8,788.0,119.0,486.0,712.8,775.9,289.0,639.0,657.7,413.0,320.0,638.0,783.5,573.0,367.0,854.8,874.0,280.0,893.0,216.0,0.0,448.1,893.0,1173.0,784.8,727.8,344.0,152.0,485.8,401.0,971.1,404.0,796.8,280.0,921.8,969.2,704.0,889.0,358.3,525.3,1000000000.0,451.1,532.0,184.0,109.0,714.8,1060.1,645.0,162.2,654.5,554.8,933.0,1013.0,102.0,77.0,255.0,896.8,780.0,416.0,238.0,318.0,114.4,795.8,267.0,122.0,224.0,750.5,387.0,795.8,607.8,1015.0,403.5,893.8,828.6,440.4,438.0,861.0,106.0
Mount Vernon(New York),333.8,430.19998,269.8,342.0,367.19998,714.0,266.8,329.9,197.20001,237.7,626.0,288.0,330.19998,608.0,337.5,359.7,245.4,408.8,428.0,648.10004,493.0,540.10004,448.1,0.0,493.0,727.0,338.8,281.8,142.20001,419.19998,39.8,47.100002,525.10004,82.2,350.8,425.69998,475.8,523.2,300.5,489.0,138.4,79.299995,1000000000.0,5.1,405.7,301.1,557.10004,268.8,614.10004,245.0,338.1,208.5,108.799995,487.0,567.0,420.19998,438.19998,193.09999,450.8,380.0,35.9,248.20001,224.09999,432.6,349.8,389.19998,326.1,249.09999,304.5,64.9,349.8,161.8,569.0,48.4,447.8,382.6,7.7,117.4,436.5,401.1
Winooski(Vermont),383.8,916.4,500.5,379.0,853.4,876.0,389.0,472.0,683.4,262.8,720.0,480.0,816.4,724.0,259.0,409.0,732.5,257.0,332.0,1052.0,5.1,950.0,893.0,493.0,0.0,596.0,373.0,454.0,628.4,905.4,497.7,528.4,389.0,569.3,423.0,911.9,333.0,388.0,256.0,64.0,625.5,464.7,1000000000.0,490.0,490.0,782.4,1002.0,471.6,476.0,248.0,811.2,329.0,438.7,363.2,437.5,906.4,924.4,674.4,250.0,113.0,523.0,734.4,575.0,918.8,401.4,875.4,771.0,730.4,465.8,552.0,306.0,375.7,434.0,535.5,309.0,275.0,489.0,604.5,160.0,887.3
Bangor(Maine),393.2,1151.3,509.90002,385.0,1088.3,1280.0,460.2,485.0,918.3,666.8,1124.0,884.0,1051.3,1128.0,435.0,813.0,966.5,348.0,299.0,1373.0,601.0,1265.0,1173.0,727.0,596.0,0.0,393.5,476.5,863.3,1140.3,687.2,774.0,208.0,803.3,429.9,1146.8,263.0,214.0,608.2,532.0,859.5,654.2,1000000000.0,721.9,894.0,1026.0,1282.0,494.1,123.0,652.0,1063.0,532.5,628.2,240.0,170.5,1141.3,1159.3,918.0,346.0,517.0,757.0,969.3,951.0,1153.7,408.5,1110.3,1051.0,974.0,475.2,786.0,402.0,565.2,167.0,769.5,334.1,373.0,734.6,838.5,436.0,1122.2
Cambridge(Massachusetts),10.8,763.1,127.5,8.5,700.1,901.0,72.0,99.0,530.1,281.0,747.0,507.0,663.1,749.0,149.0,436.0,578.3,126.0,94.5,984.8,378.0,876.8,784.8,338.8,373.0,393.5,0.0,96.4,475.09998,752.1,299.0,385.8,191.6,415.09998,50.0,758.6,142.3,189.7,216.0,309.0,471.3,266.0,1000000000.0,333.7,517.0,637.8,893.8,114.0,280.6,295.8,674.8,139.0,240.0,153.5,233.5,753.1,771.1,529.8,168.0,294.0,368.8,581.1,562.8,765.5,28.4,722.1,662.8,585.8,92.8,397.8,67.0,177.0,235.5,381.3,129.6,99.8,346.4,450.3,213.0,734.0
Providence(Rhode Island),89.0,706.1,61.0,91.5,643.1,910.0,65.0,55.199997,473.09998,290.0,756.0,516.0,606.1,758.0,230.0,445.0,521.3,207.0,177.5,927.8,459.0,819.8,727.8,281.8,454.0,476.5,96.4,0.0,418.09998,695.1,242.0,328.8,274.6,358.09998,69.0,701.6,225.3,272.7,225.0,390.0,414.3,209.0,1000000000.0,276.7,526.0,580.8,836.8,17.6,363.6,304.8,617.8,148.0,177.6,236.5,316.5,696.1,714.1,472.8,249.0,364.0,311.8,524.1,505.8,708.5,68.0,665.1,605.8,528.8,29.8,340.8,148.0,120.0,318.5,324.3,212.6,180.8,289.4,393.3,294.0,677.0
Trenton(New Jersey),470.09998,288.0,406.09998,478.3,225.0,692.0,403.09998,466.2,55.0,369.4,649.0,311.0,188.0,631.0,473.8,471.0,125.0,545.1,564.3,546.0,628.4,439.0,344.0,142.20001,628.4,863.3,475.09998,418.09998,0.0,277.0,176.1,100.0,661.39996,60.0,487.09998,283.5,612.1,659.5,434.4,624.4,14.3,215.6,1000000000.0,141.4,430.0,183.0,453.0,405.09998,750.39996,380.4,219.0,344.8,245.09999,623.3,703.3,278.0,296.0,94.0,587.1,515.4,106.3,106.0,216.0,290.4,486.09998,247.0,225.0,150.0,440.8,87.0,486.09998,298.09998,705.3,93.8,584.1,518.89996,139.4,94.0,572.8,258.9
Annapolis(Maryland),747.1,72.0,683.1,755.3,52.0,632.0,680.1,743.19995,222.0,646.4,803.7,468.2,175.0,784.0,750.8,628.2,300.0,822.1,841.3,426.0,905.4,362.0,152.0,419.19998,905.4,1140.3,752.1,695.1,277.0,0.0,453.09998,377.0,938.39996,337.0,764.1,143.0,889.1,936.5,711.4,901.4,291.3,492.59998,1000000000.0,418.4,587.2,179.1,255.0,682.1,1027.3999,657.4,137.0,621.8,522.1,900.3,980.3,55.0,81.0,282.0,864.1,792.4,383.3,171.0,373.2,67.4,763.1,115.0,177.2,229.0,717.8,364.0,763.1,575.1,982.3,370.8,861.1,795.89996,416.4,371.0,849.8,52.0
