,Hartford(Connecticut),Concord(New Hampshire),Buffalo(New York),Quincy(Massachusetts),Nashua(New Hampshire),Bridgeport(Connecticut),Fall River(Massachusetts),Rutland(Vermont),Portsmouth(New Hampshire),Newport(Rhode Island),Worcester(Massachusetts),Providence(Rhode Island),Bangor(Maine),Springfield(Massachusetts),Manchester(New Hampshire),Boston(Massachusetts),Brockton(Massachusetts),New Bedford(Massachusetts),Portland(Maine),Cambridge(Massachusetts),Pittsfield(Massachusetts),Albany(New York),Chelsea(Massachusetts),Warwick(Rhode Island),New Haven(Connecticut),New York City(New York),Westbrook(Maine),Biddeford(Maine),Sanford(Maine),Winooski(Vermont),Burlington(Vermont),Laconia(New Hampshire),Montpelier(Vermont),Lewiston(Maine),Stamford(Connecticut),Rochester(New Hampshire),Auburn(Maine),Augusta(Maine),Lebanon(New Hampshire),Keene(New Hampshire)
Worcester(Massachusetts),0.5705835529205094,0.0,0.6145545179861558,0.5880023783754831,0.6872192458039996,0.5320061540935249,0.8398989898989899,0.673836032388664,0.0,0.6298556232257213,0.0,0.6816728439363834,0.7295762363134675,0.554874445906167,0.6883010601444945,0.8398989898989899,0.7295762363134675,0.6088876300576327,0.6272674791898144,0.8202043887649949,0.5723851250461099,0.0,0.6997299357370075,0.6807283247500638,0.0,0.6230503971484305,0.7222973637615582,0.682854831405942,0.6088876300576327,0.0,0.6932536359451189,0.6883010601444945,0.5641005762043176,0.6997299357370075,0.6016483516483516,0.6892051913603637,0.6621964769667724,0.7088909360040313,0.8398989898989899,0.6130590900327741
Providence(Rhode Island),0.642865164933898,0.0,0.626531897326201,0.6138937309380402,0.7080635544174414,0.6665910249391154,0.8116128869477084,0.645124448137841,0.0,0.6086433569683837,0.6816728439363834,0.0,0.753517316017316,0.7544937553735463,0.7017157250053451,0.8116128869477084,0.753517316017316,0.6985463996919522,0.8425559947299078,0.8311011904761905,0.5531083491843084,0.0,0.7226916076347895,0.6571936847382912,0.0,0.7309568352086597,0.7292117200119185,0.6963810872902046,0.6985463996919522,0.0,0.7069858754215275,0.7017157250053451,0.575274501301237,0.7226916076347895,0.6336166006140157,0.7086466165413534,0.9714285714285714,0.7229329252430657,0.8116128869477084,0.5374527063359916
Bangor(Maine),0.7680528516836108,0.0,0.6355898858197576,0.6787590604727962,0.7107418287396656,0.6446274027473002,0.8686475934459805,0.8561507936507937,0.0,0.7753246753246753,0.7295762363134675,0.753517316017316,0.0,0.728671953046953,0.7118606721181285,0.8686475934459805,1.0,0.8345771144278606,0.7817589962121212,0.8482788728204436,0.6648444700460829,0.0,0.9590909090909091,0.7501310000800491,0.0,0.8343253968253969,0.6765933965556489,0.7832575757575757,0.8345771144278606,0.0,0.7715087121212121,0.7118606721181285,0.6016666239200209,0.9590909090909091,0.7005658909003311,0.8028842924317063,0.7319882498453927,0.7560992386552088,0.8686475934459805,0.5575411503852171
Springfield(Massachusetts),0.6084931082116641,0.0,0.7197774943310657,0.6842946200743877,0.5661169329706376,0.725,0.6606442591065608,0.6238530709122228,0.0,0.5649573454143259,0.554874445906167,0.7544937553735463,0.728671953046953,0.0,0.8061507936507937,0.6606442591065608,0.728671953046953,0.652598261526833,0.702274558451884,0.6451529615445383,0.531573359073359,0.0,0.7597527472527472,0.711087996142344,0.0,0.6393298726381735,0.7447204968944099,0.6204647435897436,0.652598261526833,0.0,0.6111577724358974,0.8061507936507937,0.5797459437403994,0.7597527472527472,0.70627929418252,0.6360122289963731,0.7766847481786506,0.6016140223450491,0.6606442591065608,0.7123355263157894
Manchester(New Hampshire),0.7449965493443754,0.0,0.8928571428571428,0.6190152146775281,0.6705321937053313,0.665161271620085,0.8195045695045695,0.6094600794027233,0.0,0.6145614741407225,0.6883010601444945,0.7017157250053451,0.7118606721181285,0.8061507936507937,0.0,0.8195045695045695,0.7118606721181285,0.8095238095238095,0.7627666312520431,0.8002881925140223,0.558486474127257,0.0,0.7093026004728132,0.7388339920948617,0.0,0.664275932977788,0.6601559666325821,0.7188704427083333,0.8095238095238095,0.0,0.7298177083333333,1.0,0.7191532258064517,0.7093026004728132,0.5997468489265364,0.7065000373190028,0.7223544227996199,0.7462797619047619,0.8195045695045695,0.5742498498851295
Boston(Massachusetts),0.6793478260869565,0.0,0.7317005084862227,0.7000870169473581,0.8182165404040405,0.5936327024496667,1.0,0.7436933265316282,0.0,0.7499183006535948,0.8398989898989899,0.8116128869477084,0.8686475934459805,0.6606442591065608,0.8195045695045695,0.0,0.8686475934459805,0.7249534019928519,0.7468368062512523,0.9765512265512266,0.6814928127428128,0.0,0.8331120100777358,0.6669568972664424,0.0,0.7418158667191175,0.6739330795066726,0.8130201841153128,0.7249534019928519,0.0,0.8254012021475258,0.8195045695045695,0.6716290684813884,0.8331120100777358,0.6782950926453203,0.6974235084363806,0.788423947320631,0.8440192743764173,1.0,0.6407788624787776
Brockton(Massachusetts),0.7680528516836108,0.0,0.6355898858197576,0.6787590604727962,0.7107418287396656,0.6446274027473002,0.8686475934459805,0.8561507936507937,0.0,0.7753246753246753,0.7295762363134675,0.753517316017316,1.0,0.728671953046953,0.7118606721181285,0.8686475934459805,0.0,0.8345771144278606,0.7817589962121212,0.8482788728204436,0.6648444700460829,0.0,0.9590909090909091,0.7501310000800491,0.0,0.8343253968253969,0.6765933965556489,0.7832575757575757,0.8345771144278606,0.0,0.7715087121212121,0.7118606721181285,0.6016666239200209,0.9590909090909091,0.7005658909003311,0.8028842924317063,0.7319882498453927,0.7560992386552088,0.8686475934459805,0.5575411503852171
New Bedford(Massachusetts),0.9202898550724637,0.0,0.7227891156462585,0.70283199387677,0.5931688645327309,0.7724000474051109,0.7249534019928519,0.7145238588802022,0.0,0.7217817896389325,0.6088876300576327,0.6985463996919522,0.8345771144278606,0.652598261526833,0.8095238095238095,0.7249534019928519,0.8345771144278606,0.0,0.8113636363636364,0.707954133908604,0.674945139346061,0.0,0.8057835820895523,0.6260421654896927,0.0,0.6963088821764195,0.7022154925353239,0.6618399859943978,1.0,0.0,0.6719187675070027,0.8095238095238095,0.5821716589861752,0.8057835820895523,0.6809546254399196,0.8711779448621553,0.678587931129325,0.6870748299319728,0.7249534019928519,0.504765634323905
Portland(Maine),0.7466897233201581,0.0,0.6810416350464671,0.7286088221766576,0.6110742278573023,0.6266973111900559,0.7468368062512523,0.6693035850506555,0.0,0.606117039920307,0.6272674791898144,0.8425559947299078,0.7817589962121212,0.702274558451884,0.7627666312520431,0.7468368062512523,0.7817589962121212,0.8113636363636364,0.0,0.7293243991782612,0.565032462077573,0.0,0.8151041666666666,0.6405323529837097,0.0,0.652241384736502,0.8654756770743488,0.7986986830624127,0.8113636363636364,0.0,0.8108616071699621,0.7627666312520431,0.6310105063951443,0.8151041666666666,0.7520172007287536,0.7068421052631578,0.8184829663090533,0.7929749540706247,0.7468368062512523,0.5089829318290616
Cambridge(Massachusetts),0.6750904249259513,0.0,0.714543029030377,0.7168973812257394,0.7990303661160669,0.6078869047619047,0.9765512265512266,0.7262546302024234,0.0,0.7323336363164795,0.8202043887649949,0.8311011904761905,0.8482788728204436,0.6451529615445383,0.8002881925140223,0.9765512265512266,0.8482788728204436,0.707954133908604,0.7293243991782612,0.0,0.6655126421698393,0.0,0.8135765552959708,0.6676739006822268,0.0,0.7244211945197154,0.6901154401154401,0.8325422794117647,0.707954133908604,0.0,0.8452205882352941,0.8002881925140223,0.6877561055893641,0.8135765552959708,0.6945821931336637,0.6810697825892071,0.8073554421768707,0.8642857142857143,0.9765512265512266,0.62575338410175
Pittsfield(Massachusetts),0.6211451644706504,0.0,0.5230136736473142,0.49058713101440327,0.6169738863287251,0.7332046332046331,0.6814928127428128,0.5692071206842954,0.0,0.6688762850053174,0.5723851250461099,0.5531083491843084,0.6648444700460829,0.531573359073359,0.558486474127257,0.6814928127428128,0.6648444700460829,0.674945139346061,0.565032462077573,0.6655126421698393,0.0,0.0,0.6932027649769585,0.609717820565126,0.0,0.5546966262983689,0.5521664642988172,0.5661155913978495,0.674945139346061,0.0,0.5625049868928164,0.558486474127257,0.4577103829992166,0.6932027649769585,0.5063484681352809,0.6590659340659341,0.5373052534933281,0.5751930693039325,0.6814928127428128,0.4366861893368022
Albany(New York),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea(Massachusetts),0.7415544559809647,0.0,0.6333058932792975,0.7077108687394085,0.6816660266548611,0.6347730952846254,0.8331120100777358,0.8211264430014431,0.0,0.7436068476977568,0.6997299357370075,0.7226916076347895,0.9590909090909091,0.7597527472527472,0.7093026004728132,0.8331120100777358,0.9590909090909091,0.8057835820895523,0.8151041666666666,0.8135765552959708,0.6932027649769585,0.0,0.0,0.7511316108901099,0.0,0.8001939033189034,0.7054528305319562,0.8166666666666667,0.8057835820895523,0.0,0.8044166666666667,0.7093026004728132,0.627330129205709,1.0,0.7304478483320987,0.8371305418719213,0.7020432759880811,0.7883499170812603,0.8331120100777358,0.5813225264679989
Warwick(Rhode Island),0.6559345265988815,0.0,0.7314311594202898,0.6407767194776662,0.6399025331180707,0.781524926686217,0.6669568972664424,0.6422252510605976,0.0,0.6078472987687583,0.6807283247500638,0.6571936847382912,0.7501310000800491,0.711087996142344,0.7388339920948617,0.6669568972664424,0.7501310000800491,0.6260421654896927,0.6405323529837097,0.6676739006822268,0.609717820565126,0.0,0.7511316108901099,0.0,0.0,0.8990868585977282,0.554365171886602,0.8019699625993455,0.6260421654896927,0.0,0.7899404131603553,0.7388339920948617,0.6605294189230794,0.7511316108901099,0.6505623799188784,0.6815302144249513,0.638416722317197,0.7725152569877004,0.6669568972664424,0.5963539035335375
New Haven(Connecticut),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York City(New York),0.728975861243303,0.0,0.6576201434036825,0.6474792099792099,0.7117249318003629,0.7026587912501306,0.7418158667191175,0.7143083506550769,0.0,0.6468730674087817,0.6230503971484305,0.7309568352086597,0.8343253968253969,0.6393298726381735,0.664275932977788,0.7418158667191175,0.8343253968253969,0.6963088821764195,0.652241384736502,0.7244211945197154,0.5546966262983689,0.0,0.8001939033189034,0.8990868585977282,0.0,0.0,0.5644990540707349,0.7210406543631831,0.6963088821764195,0.0,0.7102250445477354,0.664275932977788,0.5938733202709342,0.8001939033189034,0.6344812554489974,0.6698667558879614,0.710072354202698,0.6945583156238883,0.7418158667191175,0.5813444083180925
Westbrook(Maine),0.6462417938549719,0.0,0.5894249702076626,0.6305932136956864,0.5514231927777908,0.5423912797228875,0.6739330795066726,0.579265973440005,0.0,0.6381087919038584,0.7222973637615582,0.7292117200119185,0.6765933965556489,0.7447204968944099,0.6601559666325821,0.6739330795066726,0.6765933965556489,0.7022154925353239,0.8654756770743488,0.6901154401154401,0.5521664642988172,0.0,0.7054528305319562,0.554365171886602,0.0,0.5644990540707349,0.0,0.6912542835018324,0.7022154925353239,0.0,0.7017809984790176,0.6601559666325821,0.5461242452633653,0.7054528305319562,0.6508525959722744,0.6117546496372896,0.7083770994401493,0.6863005352772746,0.6739330795066726,0.5304908671134357
Biddeford(Maine),0.704708751393534,0.0,0.6418486095610119,0.7990033908511739,0.687347361220423,0.6267595162250017,0.8130201841153128,0.6705865951178452,0.0,0.6096987148688282,0.682854831405942,0.6963810872902046,0.7832575757575757,0.6204647435897436,0.7188704427083333,0.8130201841153128,0.7832575757575757,0.6618399859943978,0.7986986830624127,0.8325422794117647,0.5661155913978495,0.0,0.8166666666666667,0.8019699625993455,0.0,0.7210406543631831,0.6912542835018324,0.0,0.6618399859943978,0.0,0.985,0.7188704427083333,0.7665245749746504,0.8166666666666667,0.7741324519692869,0.6836566091954024,0.6764844847961987,0.9632720588235294,0.8130201841153128,0.618290696486928
Sanford(Maine),0.9202898550724637,0.0,0.7227891156462585,0.70283199387677,0.5931688645327309,0.7724000474051109,0.7249534019928519,0.7145238588802022,0.0,0.7217817896389325,0.6088876300576327,0.6985463996919522,0.8345771144278606,0.652598261526833,0.8095238095238095,0.7249534019928519,0.8345771144278606,1.0,0.8113636363636364,0.707954133908604,0.674945139346061,0.0,0.8057835820895523,0.6260421654896927,0.0,0.6963088821764195,0.7022154925353239,0.6618399859943978,0.0,0.0,0.6719187675070027,0.8095238095238095,0.5821716589861752,0.8057835820895523,0.6809546254399196,0.8711779448621553,0.678587931129325,0.6870748299319728,0.7249534019928519,0.504765634323905
Winooski(Vermont),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burlington(Vermont),0.7154403567447045,0.0,0.6516229538690476,0.8111709551788567,0.697814579919211,0.6186271165799819,0.8254012021475258,0.6605277961910775,0.0,0.6189834668719069,0.6932536359451189,0.7069858754215275,0.7715087121212121,0.6111577724358974,0.7298177083333333,0.8254012021475258,0.7715087121212121,0.6719187675070027,0.8108616071699621,0.8452205882352941,0.5625049868928164,0.0,0.8044166666666667,0.7899404131603553,0.0,0.7102250445477354,0.7017809984790176,0.985,0.6719187675070027,0.0,0.0,0.7298177083333333,0.7781975380453304,0.8044166666666667,0.785921271034809,0.6734017600574713,0.6867862789809124,0.9779411764705882,0.8254012021475258,0.6277062908496731
Laconia(New Hampshire),0.7449965493443754,0.0,0.8928571428571428,0.6190152146775281,0.6705321937053313,0.665161271620085,0.8195045695045695,0.6094600794027233,0.0,0.6145614741407225,0.6883010601444945,0.7017157250053451,0.7118606721181285,0.8061507936507937,1.0,0.8195045695045695,0.7118606721181285,0.8095238095238095,0.7627666312520431,0.8002881925140223,0.558486474127257,0.0,0.7093026004728132,0.7388339920948617,0.0,0.664275932977788,0.6601559666325821,0.7188704427083333,0.8095238095238095,0.0,0.7298177083333333,0.0,0.7191532258064517,0.7093026004728132,0.5997468489265364,0.7065000373190028,0.7223544227996199,0.7462797619047619,0.8195045695045695,0.5742498498851295
Montpelier(Vermont),0.556753924237002,0.0,0.6421010944700462,0.6600499146214707,0.567811816925491,0.5376775916002622,0.6716290684813884,0.5151173575823196,0.0,0.5036669297051196,0.5641005762043176,0.575274501301237,0.6016666239200209,0.5797459437403994,0.7191532258064517,0.6716290684813884,0.6016666239200209,0.5821716589861752,0.6310105063951443,0.6877561055893641,0.4577103829992166,0.0,0.627330129205709,0.6605294189230794,0.0,0.5938733202709342,0.5461242452633653,0.7665245749746504,0.5821716589861752,0.0,0.7781975380453304,0.7191532258064517,0.0,0.627330129205709,0.6395042432594787,0.5251572109945576,0.5588380869783445,0.795750865971165,0.6716290684813884,0.5107646927414123
Lewiston(Maine),0.7415544559809647,0.0,0.6333058932792975,0.7077108687394085,0.6816660266548611,0.6347730952846254,0.8331120100777358,0.8211264430014431,0.0,0.7436068476977568,0.6997299357370075,0.7226916076347895,0.9590909090909091,0.7597527472527472,0.7093026004728132,0.8331120100777358,0.9590909090909091,0.8057835820895523,0.8151041666666666,0.8135765552959708,0.6932027649769585,0.0,1.0,0.7511316108901099,0.0,0.8001939033189034,0.7054528305319562,0.8166666666666667,0.8057835820895523,0.0,0.8044166666666667,0.7093026004728132,0.627330129205709,0.0,0.7304478483320987,0.8371305418719213,0.7020432759880811,0.7883499170812603,0.8331120100777358,0.5813225264679989
Stamford(Connecticut),0.6266756335570274,0.0,0.5354882579701217,0.9688725490196078,0.5734474385354218,0.5259693849705235,0.6782950926453203,0.7291842300769835,0.0,0.5858922663358148,0.6016483516483516,0.6336166006140157,0.7005658909003311,0.70627929418252,0.5997468489265364,0.6782950926453203,0.7005658909003311,0.6809546254399196,0.7520172007287536,0.6945821931336637,0.5063484681352809,0.0,0.7304478483320987,0.6505623799188784,0.0,0.6344812554489974,0.6508525959722744,0.7741324519692869,0.6809546254399196,0.0,0.785921271034809,0.5997468489265364,0.6395042432594787,0.7304478483320987,0.0,0.6114802030834288,0.615513269167901,0.8036488185017596,0.6782950926453203,0.5158341126692841
Rochester(New Hampshire),0.8017362246195197,0.0,0.6308036047491096,0.6122917320089354,0.5706434502692634,0.6728978859098158,0.6974235084363806,0.6873900241751614,0.0,0.7459752004249975,0.6892051913603637,0.7086466165413534,0.8028842924317063,0.6360122289963731,0.7065000373190028,0.6974235084363806,0.8028842924317063,0.8711779448621553,0.7068421052631578,0.6810697825892071,0.6590659340659341,0.0,0.8371305418719213,0.6815302144249513,0.0,0.6698667558879614,0.6117546496372896,0.6836566091954024,0.8711779448621553,0.0,0.6734017600574713,0.7065000373190028,0.5251572109945576,0.8371305418719213,0.6114802030834288,0.0,0.6883995703544576,0.6599517932709197,0.6974235084363806,0.4866428415845102
Auburn(Maine),0.6244975887929295,0.0,0.6449593060710892,0.5963539100540962,0.7288889530767779,0.6861966433196776,0.788423947320631,0.6266923210481884,0.0,0.591253546769287,0.6621964769667724,0.9714285714285714,0.7319882498453927,0.7766847481786506,0.7223544227996199,0.788423947320631,0.7319882498453927,0.678587931129325,0.8184829663090533,0.8073554421768707,0.5373052534933281,0.0,0.7020432759880811,0.638416722317197,0.0,0.710072354202698,0.7083770994401493,0.6764844847961987,0.678587931129325,0.0,0.6867862789809124,0.7223544227996199,0.5588380869783445,0.7020432759880811,0.615513269167901,0.6883995703544576,0.0,0.7022776988075495,0.788423947320631,0.5532601388752855
Augusta(Maine),0.6996585841694537,0.0,0.6663212159863945,0.8294680443934175,0.7135547584136294,0.6325811116908087,0.8440192743764173,0.6473349632534179,0.0,0.6329454999592431,0.7088909360040313,0.7229329252430657,0.7560992386552088,0.6016140223450491,0.7462797619047619,0.8440192743764173,0.7560992386552088,0.6870748299319728,0.7929749540706247,0.8642857142857143,0.5751930693039325,0.0,0.7883499170812603,0.7725152569877004,0.0,0.6945583156238883,0.6863005352772746,0.9632720588235294,0.6870748299319728,0.0,0.9779411764705882,0.7462797619047619,0.795750865971165,0.7883499170812603,0.8036488185017596,0.6599517932709197,0.7022776988075495,0.0,0.8440192743764173,0.6418650793650793
Lebanon(New Hampshire),0.6793478260869565,0.0,0.7317005084862227,0.7000870169473581,0.8182165404040405,0.5936327024496667,1.0,0.7436933265316282,0.0,0.7499183006535948,0.8398989898989899,0.8116128869477084,0.8686475934459805,0.6606442591065608,0.8195045695045695,1.0,0.8686475934459805,0.7249534019928519,0.7468368062512523,0.9765512265512266,0.6814928127428128,0.0,0.8331120100777358,0.6669568972664424,0.0,0.7418158667191175,0.6739330795066726,0.8130201841153128,0.7249534019928519,0.0,0.8254012021475258,0.8195045695045695,0.6716290684813884,0.8331120100777358,0.6782950926453203,0.6974235084363806,0.788423947320631,0.8440192743764173,0.0,0.6407788624787776
Keene(New Hampshire),0.4645306924575067,0.0,0.5127230802545799,0.532406572145378,0.5242958640214218,0.5164432565789473,0.6407788624787776,0.506077694235589,0.0,0.4805317956448284,0.6130590900327741,0.5374527063359916,0.5575411503852171,0.7123355263157894,0.5742498498851295,0.6407788624787776,0.5575411503852171,0.504765634323905,0.5089829318290616,0.62575338410175,0.4366861893368022,0.0,0.5813225264679989,0.5963539035335375,0.0,0.5813444083180925,0.5304908671134357,0.618290696486928,0.504765634323905,0.0,0.6277062908496731,0.5742498498851295,0.5107646927414123,0.5813225264679989,0.5158341126692841,0.4866428415845102,0.5532601388752855,0.6418650793650793,0.6407788624787776,0.0
