,Biddeford(Maine),Sanford(Maine),Pittsfield(Massachusetts),Portsmouth(New Hampshire),Westbrook(Maine),Rutland(Vermont),Brockton(Massachusetts),Laconia(New Hampshire),Winooski(Vermont),Nashua(New Hampshire),New Bedford(Massachusetts),Boston(Massachusetts),Quincy(Massachusetts),Warwick(Rhode Island),Auburn(Maine),Newport(Rhode Island),Augusta(Maine),Lewiston(Maine),Cambridge(Massachusetts),Bridgeport(Connecticut),Lebanon(New Hampshire),Bangor(Maine),Keene(New Hampshire),Manchester(New Hampshire),Buffalo(New York),Chelsea(Massachusetts),Stamford(Connecticut),Concord(New Hampshire),Worcester(Massachusetts),Burlington(Vermont),New Haven(Connecticut),Hartford(Connecticut),Albany(New York),Portland(Maine),Fall River(Massachusetts),New York City(New York),Providence(Rhode Island),Rochester(New Hampshire),Montpelier(Vermont),Springfield(Massachusetts)
Stamford(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,229.0,563.1,230.0,610.2,565.1,343.0,39.5,556.0,723.1,492.0,442.79999999999995,1037.7,338.1,0.0,469.0,227.0,721.0,69.0,122.0,569.7,521.2,264.7,840.7,242.0,459.2,652.0,168.7
Concord(New Hampshire),115.2,85.0,302.0,75.0,140.0,178.0,176.9,43.7,257.0,59.0,225.0,136.8,154.4,240.0,189.5,253.5,228.0,186.0,126.0,435.2,97.0,348.0,87.0,27.5,835.0,132.0,469.0,0.0,142.0,262.0,400.0,247.0,367.0,141.0,218.8,638.0,207.0,57.0,193.0,216.0
Worcester(Massachusetts),228.0,216.8,160.0,161.2,256.4,299.0,99.0,184.0,412.0,83.0,114.0,67.0,88.0,82.6,300.2,125.7,347.29999999999995,302.2,72.0,194.0,229.0,460.2,165.0,115.8,693.0,75.2,227.0,142.0,0.0,394.0,168.0,105.0,225.0,258.29999999999995,91.0,496.0,65.0,181.0,325.0,83.0
Burlington(Vermont),inf,inf,256.0,375.0,470.2,113.0,495.0,284.0,5.1,340.0,506.0,417.8,435.4,521.0,471.5,530.7,510.0,468.0,407.0,716.2,165.0,601.0,264.0,280.0,789.0,384.0,721.0,262.0,394.0,0.0,562.0,375.7,321.0,394.0,470.8,592.0,459.0,314.0,69.0,329.0
New Haven(Connecticut),inf,inf,435.7,747.7,842.9000000000001,578.7,246.6,469.5,691.7,364.5,221.1,277.7,245.6,160.0,494.1,161.0,541.2,496.1,274.0,35.2,487.0,654.1,423.0,373.79999999999995,968.7,269.1,69.0,400.0,168.0,562.0,0.0,63.0,393.0,426.29999999999995,195.7,664.0,177.6,349.0,493.0,109.7
Hartford(Connecticut),333.0,321.8,138.7,266.2,361.4,262.7,189.0,289.0,375.7,188.0,219.0,172.0,188.0,137.6,405.2,181.0,452.29999999999995,407.2,177.0,89.0,334.0,565.2,175.7,220.8,671.7,180.2,122.0,247.0,105.0,375.7,63.0,0.0,203.7,363.29999999999995,149.8,474.7,120.0,286.0,370.7,46.7
Albany(New York),inf,inf,65.0,377.0,472.2,208.0,307.0,379.0,321.0,308.0,326.0,280.0,300.0,385.6,513.2,339.7,560.3,515.2,281.0,535.9,289.0,673.2,286.0,340.8,468.0,288.2,569.7,367.0,225.0,321.0,393.0,203.7,0.0,471.29999999999995,305.0,271.0,290.0,406.0,317.0,157.0
Portland(Maine),38.1,56.0,inf,97.1,12.1,359.1,228.0,139.0,423.0,200.0,283.1,191.3,206.6,292.2,54.0,308.0,89.0,57.5,191.6,487.4,229.0,208.0,228.0,168.5,939.3,183.1,521.2,141.0,258.29999999999995,394.0,426.29999999999995,363.29999999999995,471.29999999999995,0.0,273.29999999999995,742.3,274.6,132.2,325.0,330.6
Fall River(Massachusetts),239.0,227.8,240.0,176.2,271.4,376.0,51.0,268.0,489.0,159.8,25.4,82.0,70.0,47.400000000000006,315.2,34.7,362.29999999999995,317.2,92.8,230.89999999999998,305.8,475.2,241.8,192.6,773.0,90.2,264.7,218.8,91.0,470.8,195.7,149.8,305.0,273.29999999999995,0.0,576.0,29.8,211.29999999999998,401.8,160.0
New York City(New York),inf,inf,336.0,648.0,743.2,479.0,578.0,650.0,592.0,579.0,597.0,551.0,571.0,656.6,784.2,610.7,831.3,786.2,552.0,806.9,560.0,944.2,557.0,611.8,739.0,559.2,840.7,638.0,496.0,592.0,664.0,474.7,271.0,742.3,576.0,0.0,561.0,677.0,588.0,428.0
Providence(Rhode Island),268.8,257.6,225.0,177.5,272.7,364.0,69.0,249.0,477.0,148.0,55.2,89.0,68.0,17.6,316.5,61.0,363.6,318.5,96.4,209.0,294.0,476.5,230.0,180.8,758.0,91.5,242.0,207.0,65.0,459.0,177.6,120.0,290.0,274.6,29.8,561.0,0.0,212.6,390.0,148.0
Rochester(New Hampshire),94.1,82.9,341.0,35.1,130.3,230.0,166.0,59.0,313.0,98.0,221.1,129.3,144.6,230.2,174.1,246.0,221.2,176.1,129.6,425.4,149.0,334.1,144.0,69.0,874.0,121.1,459.2,57.0,181.0,314.0,349.0,286.0,406.0,132.2,211.29999999999998,677.0,212.6,0.0,245.0,264.0
Montpelier(Vermont),299.2,269.0,252.0,268.0,324.0,109.0,359.9,186.0,64.0,242.0,408.0,319.8,337.4,423.0,373.5,436.5,412.0,370.0,309.0,618.2,96.0,532.0,195.0,211.0,785.0,315.0,652.0,193.0,325.0,69.0,493.0,370.7,317.0,325.0,401.8,588.0,390.0,245.0,0.0,324.0
Springfield(Massachusetts),294.0,282.8,92.0,233.5,328.7,216.0,166.0,258.0,329.0,166.0,182.0,142.0,158.0,165.6,372.5,194.7,419.6,374.5,139.0,135.7,228.0,532.5,129.0,198.8,625.0,147.5,168.7,216.0,83.0,329.0,109.7,46.7,157.0,330.6,160.0,428.0,148.0,264.0,324.0,0.0
